product_name,product_date,product_group,product_comments,product_votes,product_merchant
Ananas cena za szt. @Auchan,Obowiązuje do 18/12/2019,"['Jedzenie', 'Artykuły spożywcze', 'Hity z marketów']",3,139,Auchan
"Jack&Jones -50% na wszystko, Galeria Bałtycka, Gdańsk",54 min,['Moda'],6,132,None
"Jack Daniels 1,5 l Biedronka","1 g, 1 min",['Artykuły spożywcze'],14,279,Biedronka
BONSAI DUŻY ok 70cm Biedronka,"1 g, 3 min",['Dom i mieszkanie'],17,383,Biedronka
Potęga podświadomości BIEDRONKA (stalowa wola),"1 g, 3 min","['Kultura i rozrywka', 'Hity z marketów']",12,126,Biedronka
God of War oraz Horizon Zero Dawn Complete Edition (potrzebne PSN) US,"Zaktualizowano 1 g, 10 min temu (Opublikowano gru 2.)",['Gaming'],84,1146,CDkeys
NERF Accustrike Wyrzutnia Falconfire B9839 @Mall,Obowiązuje do 15/12/2019,['Rodzina i dzieci'],6,278,Mall
"Lampki bezprzewodowe LED 3 sztuki + baterie ( 9x aa),",Obowiązuje do 24/12/2019,"['Akcesoria i gadżety', 'Dom i mieszkanie', 'Komputery i tablety']",5,118,Biedronka
Empik -50% Creative Winter,Obowiązuje do 24/12/2019,"['Głośniki', 'Audio i HiFi', 'Rodzina i dzieci']",9,197,Empik
Masło klarowane Mekovita 500g Netto w dniach 19-22 grudnia,Rozpoczyna się 19/12/2019,"['Artykuły spożywcze', 'Hity z marketów']",3,202,Netto
Klipsch RW-1 - Aktywny bezprzewodowy głośnik,"1 g, 17 min","['Głośniki', 'Audio i HiFi', 'Elektronika']",2,166,Komputronik
Tissot quickster NBA - różne barwy klubowe pasków i dekli,"1 g, 21 min",['Moda'],22,344,Jomashop
HP Pavilion Gaming R7-3750H/8GB/512 GTX1660Ti 144Hz możliwe 3199 zł @x-kom,"1 g, 21 min","['Akcesoria dla graczy', 'Gaming']",11,167,x-kom
RiME Xbox One,"1 g, 28 min","['Xbox One', 'Xbox', 'Konsole', 'Gaming']",6,170,Microsoft
Mk Cafe Mielona 500g Biedronka,Obowiązuje do 15/12/2019,"['Artykuły spożywcze', 'Hity z marketów']",2,168,Biedronka
Lenor Spring Awakening 1.8L,Obowiązuje do 29/12/2019,['Dom i mieszkanie'],0,181,Selgros
Asics LITE-SHOW WINTER JACKET,"1 g, 40 min","['Bieganie', 'Fitness i bieganie', 'Sport i turystyka']",15,274,Asics
Darmowy weekend z Hunt: Showdown Steam,Obowiązuje do 15/12/2019,"['Gry PC', 'Gry wideo', 'Za darmo', 'Gaming']",6,290,Steam
W Auchan Poznań Głogowska dzisiaj i jutro -20% na wszystkie zabawki.,Obowiązuje do 13/12/2019,"['Rodzina i dzieci', 'Hity z marketów']",7,158,Auchan
Dzbanek filtrujący Aquaphor + 3 filtry po 200l wydajności w Auchan Gliwice,"1 g, 52 min","['Artykuły spożywcze', 'Hity z marketów']",5,120,Auchan
Xiaomi Redmi 8 Global Version 3GB 32GB 5000mAh,"2 g, 52 min","['Xiaomi', 'Elektronika']",3,195,Banggood
Naklejka na ścianę 28x28cm $0.01,"2 g, 55 min",['Dom i mieszkanie'],2,0,None
Forza Motorsport 7 (PC/Xbox One) Xbox Live Key GLOBAL,"2 g, 55 min","['Forza', 'Xbox One', 'Xbox', 'Gry wideo', 'Konsole', 'Gaming', 'Komputery i tablety']",14,0,None
H&M -25% na wybrany produkt - oferty indywidualne,Obowiązuje do 22/12/2019,"['Odzież', 'Moda']",10,326,H&M
"Duża pizza na cienkim cieście za 24,90 zł",Obowiązuje do 15/12/2019,"['Restauracje', 'Jedzenie', 'Artykuły spożywcze']",9,178,Dominos Pizza
Pamięci RAM - XKOM HyperX 16GB 3466MHz Fury RGB CL16 (2x8GB),"3 g, 7 min",['Elektronika'],4,163,x-kom
F680 BT5.0 Bezprzewodowe słuchawki douszne,Obowiązuje do 22/12/2019,"['Słuchawki douszne', 'Słuchawki', 'Audio i HiFi', 'Elektronika']",2,142,eBay
"Piwo żywe 0,5l @Carrefour Gdańsk Morena","3 g, 12 min","['Piwo', 'Napoje', 'Artykuły spożywcze', 'Hity z marketów']",12,419,Carrefour
Middle-Earth: Shadow of War Xbox One/PS4,"3 g, 12 min","['Xbox One', 'PlayStation 4', 'Xbox', 'Konsole', 'Gaming']",11,122,Base
Platinet powerbank 10000 mAh - Kaufland,"3 g, 16 min","['Powerbanki', 'Akcesoria i gadżety', 'Elektronika']",8,108,Kaufland
Suplementy AAKG w Auchan Tarnów,"3 g, 21 min","['Odżywki i suplementy', 'Sport i turystyka', 'Hity z marketów']",6,144,Auchan
"Zestaw sztućców miedziane, czarne, opalizujące Homla - cena z dostawą-","3 g, 24 min",['Dom i mieszkanie'],8,178,Homla
Samsung Galaxy Watch Active,"3 g, 27 min","['Smartfony Samsunga', 'Smartfony', 'Telefony i smartfony', 'Elektronika']",37,474,RTV Euro AGD
Surface pro7 i5-10gen/8/128 zestaw Media Markt Targówek,Obowiązuje do 20/12/2019,"['Microsoft Surface', 'Laptopy', 'Komputery i tablety', 'Elektronika']",23,110,Media Markt
Masło łaciate 3.99 Tesco Widzew Łódź,Obowiązuje do 18/12/2019,"['Artykuły spożywcze', 'Hity z marketów']",14,66,Tesco
Mi Smart Band 4 za 9 PLN - otwarcie Mi Store Galeria Mokotów,Rozpoczyna się jutro,['Elektronika'],20,0,None
"Pepsi , Mirinda ,7UP 4x2l Kaufland",Obowiązuje do 18/12/2019,"['Napoje', 'Artykuły spożywcze', 'Hity z marketów']",13,489,Kaufland
Bezprzewodowe słuchawki Bluetooth Sport z zestawem słuchawkowym Mic HT-BT07,Obowiązuje do 13/12/2019,"['Słuchawki', 'Audio i HiFi', 'Elektronika']",4,120,Amazon
Xiaomi Redmi Note 8 Global 48MP 4GB 64GB,"3 g, 42 min","['Xiaomi Redmi Note 8', 'Smartfony Xiaomi', 'Smartfony', 'Xiaomi', 'Telefony i smartfony', 'Elektronika']",20,373,GearBest
"iiYAMA 22"" IPS XU2292HS-B1","3 g, 43 min","['Monitory', 'Komputery i tablety', 'Elektronika']",2,121,Media Expert
Zabawki 3 w cenie 2,"4 g, 35 min",['Rodzina i dzieci'],10,403,Amazon
Doom Xbox One,Obowiązuje do 13/12/2019 10:00,"['Xbox One', 'Xbox', 'Konsole', 'Gaming']",8,268,Microsoft
Rayman Legends XBOX,Obowiązuje do 16/12/2019,"['Xbox', 'Gaming']",16,446,Microsoft
HITMAN™ - Edycja Gry Roku na Xbox One,Obowiązuje do 16/12/2019,"['Xbox One', 'Xbox', 'Gaming']",5,379,Microsoft
Do -30% na produkty Semilac,Obowiązuje do 24/12/2019,['Zdrowie i uroda'],4,153,None
Twaróg mielony President 1kg Kaufland,Obowiązuje do 18/12/2019,"['Artykuły spożywcze', 'Hity z marketów']",22,458,Kaufland
Masło mlekovita kaufland,Obowiązuje do 18/12/2019,"['Artykuły spożywcze', 'Hity z marketów']",4,513,Kaufland
NFS HEAT na PC za 128.08 zł w cdkeys (Język angielski),"4 g, 59 min","['Gaming', 'Komputery i tablety']",7,142,CDkeys
"Whiskas 3,8kg za 22,99zł Kaufland",Obowiązuje do 18/12/2019 23:00,"['Artykuły dla zwierząt', 'Artykuły spożywcze', 'Hity z marketów']",13,155,Kaufland
LEGO IDEAS Rakieta NASA Apollo Saturn V,"5 g, 0 min","['klocki LEGO', 'Klocki', 'Zabawki', 'Rodzina i dzieci']",15,338,al.to
Rossmann Rzeszów Eveline vitamin booster odzywka witaminowa plus baza pod lakier,"5 g, 3 min",['Zdrowie i uroda'],6,190,Rossmann
"Sklep Netto. Mandarynki 3,99/kg",Rozpoczyna się 16/12/2019,['Artykuły spożywcze'],10,426,Netto
Horizon Zero Dawn Complete Edition za 24zł w cdkeys (Amerykański PSN wymagany),"5 g, 8 min",['Gaming'],20,649,CDkeys
Głośnik LG XBOOM Go PK5,DZISIAJ,"['Audio i HiFi', 'Elektronika']",10,176,RTV Euro AGD
Sklep Netto. Czekolada Wedel 287-293g,Rozpoczyna się 16/12/2019,"['Słodycze', 'Jedzenie', 'Artykuły spożywcze']",0,174,Netto
Zegarek Swiss Military Hanowa Arrow Chrono,"5 g, 11 min","['Zegarki', 'Akcesoria modowe', 'Moda']",2,334,SWISS
Komplet 3 pojemników 130 ml,Obowiązuje do 31/12/2019,['Dom i mieszkanie'],2,141,Agata Meble
Zegarek Tissot Mens Seastar 1000,"5 g, 13 min","['Zegarki', 'Akcesoria modowe', 'Moda']",1,166,Watches2U
szczotka do czyszczenia twarzy $14.99,"5 g, 16 min",['Zdrowie i uroda'],8,102,AliExpress
Lizak Chupa Chups po 0.39gr przy 5sztukach Biedronka Rzeszów,Obowiązuje do 18/12/2019,"['Artykuły spożywcze', 'Hity z marketów']",14,851,Biedronka
Assassin's Creed Odyssey Xbox One/PS4,"6 g, 8 min","['Xbox One', 'PlayStation 4', 'Xbox', 'Konsole', 'Gaming']",17,468,Allegro
Jogurt 7zbóż MEN różne smaki 300g Lewiatan,"6 g, 11 min","['Artykuły spożywcze', 'Hity z marketów']",1,171,Lewiatan
BUTY REEBOK FLEXILE (damskie),Obowiązuje do 30/12/2019,"['Sport i turystyka', 'Obuwie']",2,121,Go Sport
"SONY głośnik bezprzewodowy SRS-XB22, ciemnozielony","6 g, 24 min","['Głośniki', 'Audio i HiFi', 'Elektronika']",19,519,Mall
"Gry Planszowe: Pingolo i Gobblety po 40zł , Sonar 70,79zł",Obowiązuje do 14/12/2019,"['Gry planszowe', 'Zabawki', 'Rodzina i dzieci']",4,165,GW Foksal
